geneset	gene
GS248332	20393
GS248332	21946
GS248332	23882
GS248332	24055
GS248332	26556
GS248332	26939
GS248332	27273
GS248332	223775
GS248332	53608
GS248332	53975
GS248332	53417
GS248332	57875
GS248332	56338
GS248332	22295
GS248332	59090
GS248332	80915
GS248332	66119
GS248332	55942
GS248332	66853
GS248332	67217
GS248332	67451
GS248332	67731
GS248332	67839
GS248332	70533
GS248332	68895
GS248332	101401
GS248332	69581
GS248332	69632
GS248332	223828
GS248332	70097
GS248332	70807
GS248332	70834
GS248332	213393
GS248332	329502
GS248332	72287
GS248332	72344
GS248332	230379
GS248332	74155
GS248332	74189
GS248332	74191
GS248332	74370
GS248332	74448
GS248332	319934
GS248332	74646
GS248332	74747
GS248332	74936
GS248332	76459
GS248332	76487
GS248332	76574
GS248332	78177
GS248332	78754
GS248332	60599
GS248332	56405
GS248332	56358
GS248332	57435
GS248332	56323
GS248332	85030
GS248332	100017
GS248332	217410
GS248332	111174
GS248332	140917
GS248332	170799
GS248332	71371
GS248332	215418
GS248332	108960
GS248332	238377
GS248332	319405
GS248332	319655
GS248332	239273
GS248332	241303
GS248332	115489686
GS248332	240869
GS248332	102634835
GS248332	81879
GS248332	230162
GS248332	219134
GS248332	237465
GS248332	320844
GS248332	237625
GS248332	217837
GS248332	68119
GS248332	73649
GS248332	226115
GS248332	225872
GS248332	271005
GS248332	240672
GS248332	258456
GS248332	381924
GS248333	11486
GS248333	11838
GS248333	11839
GS248333	12916
GS248333	68465
GS248333	13170
GS248333	13614
GS248333	13654
GS248333	14176
GS248333	14281
GS248333	14282
GS248333	20525
GS248333	15242
GS248333	16477
GS248333	17294
GS248333	18636
GS248333	19016
GS248333	20425
GS248333	20665
GS248333	22436
GS248333	13656
GS248333	14748
GS248333	14284
GS248333	20887
GS248333	235320
GS248333	20672
GS248333	12575
GS248333	14229
GS248333	19252
GS248333	12053
GS248333	14623
GS248333	14758
GS248333	19416
GS248333	20538
GS248333	12737
GS248333	12741
GS248333	67405
GS248333	20393
GS248333	21946
GS248333	23882
GS248333	24055
GS248333	26556
GS248333	26939
GS248333	27273
GS248333	223775
GS248333	53608
GS248333	53975
GS248333	53417
GS248333	57875
GS248333	56338
GS248333	22295
GS248333	59090
GS248333	80915
GS248333	66119
GS248333	55942
GS248333	66853
GS248333	67217
GS248333	67451
GS248333	67731
GS248333	67839
GS248333	70533
GS248333	68895
GS248333	101401
GS248333	69581
GS248333	69632
GS248333	223828
GS248333	70097
GS248333	70807
GS248333	70834
GS248333	213393
GS248333	329502
GS248333	72287
GS248333	72344
GS248333	230379
