term	gene
GO:0046933	539
GO:0005739	539
GO:0005515	539
GO:0042776	539
GO:0005753	539
GO:0005634	539
GO:1902600	8992
GO:0005515	8992
GO:0046961	8992
GO:0036295	9114
GO:0016471	9114
GO:0005515	9114
GO:0005813	9114
GO:0070062	9114
GO:0006879	9114
GO:0005765	9114
GO:0016020	9114
GO:0031965	9551
GO:0046933	9551
GO:0005739	9551
GO:0042776	9551
GO:0005753	9551
GO:0005515	496
GO:0005739	27165
GO:0005515	27165
GO:0072593	27165
GO:0042981	27165
GO:0006543	2744
GO:0005739	2744
GO:0005515	2744
GO:0006537	2744
GO:0090461	2744
GO:0004359	2744
GO:0051289	2744
GO:0005829	2752
GO:0005739	2752
GO:0005829	2805
GO:0005654	2805
GO:0005886	2806
GO:0005739	2806
GO:0006533	2806
GO:0045471	2806
GO:0070062	2806
GO:0003723	2806
GO:0015908	2806
GO:0004069	2806
GO:0070062	2875
GO:0005739	162417
GO:0004042	162417
GO:0005515	95
GO:0070965	383
GO:0005515	383
GO:0005615	383
GO:0005634	383
GO:0060336	383
GO:0042130	383
GO:0005829	445
GO:0005654	445
GO:0042742	4843
GO:0004517	4843
GO:0032757	4843
GO:0005829	4843
GO:1900015	4843
GO:0051712	4843
GO:0050796	4843
GO:0005515	4843
GO:0006527	4843
GO:0005737	4843
GO:0005777	4843
GO:0010629	4843
GO:0032755	4843
GO:0032310	4843
GO:0006809	4843
GO:0005901	4846
GO:0003100	4846
GO:0006809	4846
GO:0004517	4846
GO:0043536	4846
GO:0005794	4846
GO:0031284	4846
GO:0005886	4846
GO:0020037	4846
GO:0034405	4846
GO:0043542	4846
GO:0045766	4846
GO:0034618	4846
GO:0005515	4846
GO:0006527	4846
GO:0005737	4846
GO:0003785	4846
GO:0019430	4846
GO:0034617	4846
GO:0005829	2618
GO:0044208	2618
GO:0004641	2618
GO:0006189	2618
GO:0006177	2618
GO:0070062	2618
GO:0097294	2618
GO:0004644	2618
GO:0044208	10606
GO:0004639	10606
GO:0016020	10606
GO:0004638	10606
GO:0006189	10606
GO:0006177	10606
GO:0005515	10606
GO:0070062	10606
GO:0097294	10606
GO:0045296	10606
GO:0042802	10606
GO:0005737	10606
GO:0009113	10606
GO:0005829	158
GO:0005829	353
GO:0016208	353
GO:0070062	353
GO:0003999	353
GO:0005515	353
GO:0005654	353
GO:0005829	471
GO:0005886	471
GO:0004020	9061
GO:0042803	9061
GO:0004781	9061
GO:0050428	9061
GO:0000103	9061
GO:0005515	270
GO:0032263	270
GO:0042802	270
GO:0005829	271
GO:0003876	271
GO:0097009	271
GO:0052652	271
GO:0006188	271
GO:0005515	271
GO:0005515	272
GO:0006167	122622
GO:0005737	122622
GO:0004019	122622
GO:0005829	3704
GO:0043231	3704
GO:0005654	3704
GO:0005794	124583
GO:0005794	955
GO:0036384	955
GO:0005576	955
GO:0005886	955
GO:0017110	955
GO:0045134	955
GO:0004382	955
GO:1990003	955
GO:0046712	9583
GO:0097637	9583
GO:0030173	9583
GO:0043273	9583
GO:0017111	9583
GO:0036384	9583
GO:0034656	9583
GO:0046036	9583
GO:0017110	9583
GO:0045134	9583
GO:0004382	9583
GO:0006256	9583
GO:0016020	953
GO:0070062	953
GO:0005515	953
GO:0005515	956
GO:0017111	956
GO:0017110	956
GO:0005829	3614
GO:0005634	3614
GO:0003677	3614
GO:0003676	3614
