term	gene
GO:0006629	11947
GO:0005743	11951
GO:0005739	11951
GO:0005743	11957
GO:0005739	11957
GO:0005739	11958
GO:0016324	11964
GO:0043209	11964
GO:0005829	11964
GO:0005886	11964
GO:0005902	11964
GO:0046961	11964
GO:0005739	11964
GO:0005737	11964
GO:0016324	11966
GO:0043209	11966
GO:0005829	11966
GO:0005886	11966
GO:0001726	11966
GO:0005902	11966
GO:0005737	11966
GO:0005769	11972
GO:0046961	11972
GO:0005515	11972
GO:0016324	11973
GO:0005829	11973
GO:0005902	11973
GO:0046961	11973
GO:0005739	11973
GO:0005515	11973
GO:0005768	11973
GO:0005737	11973
GO:1902600	11973
GO:0048471	21871
GO:0005515	21871
GO:0001669	21871
GO:0043229	21871
GO:0005769	242341
GO:0044691	27060
GO:0030010	27060
GO:0048872	27060
GO:0000045	27060
GO:0030316	27060
GO:0030217	27060
GO:0005515	27060
GO:0010467	27060
GO:0060041	27060
GO:0033365	27060
GO:0031529	27060
GO:0030183	27060
GO:0035711	27060
GO:0021554	27060
GO:0051452	27060
GO:0097188	27060
GO:0045335	27060
GO:0045453	27060
GO:0006914	27060
GO:0070166	27060
GO:0005764	27060
GO:0006954	27060
GO:0090383	27060
GO:0005739	27060
GO:0001503	27060
GO:0045667	27060
GO:0061484	27060
GO:0050796	27060
GO:0042476	27060
GO:0006915	27060
GO:0030670	27060
GO:0006874	27060
GO:0043029	27060
GO:0071345	27060
GO:0030099	27060
GO:0010468	27060
GO:0007039	27060
GO:0035709	27060
GO:0030667	27060
GO:0016064	27060
GO:0051650	27060
GO:0005886	27060
GO:0010272	27060
GO:0010155	27060
GO:0005634	27060
GO:0005770	27060
GO:0045851	27060
GO:0016236	27060
GO:0002158	27060
GO:0005743	27425
GO:0005739	27425
GO:0043209	28080
GO:0005739	28080
GO:0046961	338375
GO:0005829	338375
GO:0005886	338375
GO:0005743	57423
GO:0005739	57423
GO:0046961	66335
GO:0005886	66335
GO:0005739	67942
GO:0046961	68775
GO:0005743	71679
GO:0043209	71679
GO:0005739	71679
GO:0046961	74915
GO:0001669	74915
GO:1902600	74915
GO:0016323	192113
GO:0006885	192113
GO:0055075	192113
GO:0005515	192113
GO:0004359	14660
GO:0051289	14660
GO:0006543	14660
GO:0001967	14660
GO:0002087	14660
GO:0005515	14660
GO:0007268	14660
GO:0006537	14660
GO:0005739	216456
GO:0043209	14645
GO:1903670	14645
GO:0009749	14645
GO:0010594	14645
GO:0097386	14645
GO:0044297	14645
GO:0005739	14645
GO:0005515	14645
GO:0005737	14645
GO:0009267	14645
GO:0004087	227231
GO:0005739	227231
GO:0005515	227231
GO:0005829	14718
GO:0006107	14718
GO:0006114	14718
GO:0006532	14718
GO:0004069	14718
GO:0004609	14718
GO:0055089	14718
GO:0019551	14718
GO:0019550	14718
GO:0007219	14718
GO:0043209	14719
GO:0006107	14719
GO:0005743	14719
GO:0006532	14719
GO:0004069	14719
GO:0005739	14719
GO:0019551	14719
GO:0019550	14719
GO:0005739	108682
GO:0004042	217214
GO:0006536	217214
GO:0005739	217214
GO:0046007	11846
GO:2000552	11846
GO:0004053	11846
GO:0042832	11846
GO:2000562	11847
GO:0071641	11847
GO:0032700	11847
GO:1905403	11847
GO:0001657	11847
GO:0032696	11847
GO:0071644	11847
GO:0002829	11847
GO:0032720	11847
GO:1903426	11847
GO:0005739	11847
GO:0071650	11847
GO:0006941	11847
GO:0032651	11847
GO:1900425	11847
GO:0019676	109900
GO:0007626	109900
GO:0006520	109900
GO:0045429	109900
GO:0005515	109900
GO:0009791	109900
GO:0006526	109900
GO:0051926	18125
GO:0051612	18125
GO:0033017	18125
GO:0045893	18125
GO:0005515	18125
GO:0098924	18125
GO:0071363	18125
GO:0018119	18125
GO:0045944	18125
GO:0006941	18125
GO:0042178	18125
GO:0140196	18125
GO:0030018	18125
GO:0005739	18125
GO:0051346	18125
GO:0045121	18125
GO:0044305	18125
GO:0035066	18125
GO:0098735	18125
GO:0045202	18125
GO:0006809	18125
GO:0005901	18125
GO:0005856	18125
GO:0050767	18125
GO:0042383	18125
GO:0002028	18125
GO:0004517	18125
GO:0043267	18125
GO:0099163	18125
GO:0030315	18125
GO:0050660	18126
GO:0005515	18126
GO:0042803	18126
GO:0001666	18126
GO:0042177	18126
GO:0018119	18126
GO:0009617	18126
GO:0030863	18126
GO:0032496	18126
GO:0001542	18126
GO:0034618	18126
GO:0010181	18126
GO:0010629	18126
GO:0006527	18126
GO:0071346	18126
GO:0006809	18126
GO:0042127	18126
GO:0005737	18126
GO:0006801	18126
GO:0048471	18126
GO:0071466	18126
GO:0020037	18126
GO:0034617	18126
GO:0042742	18126
GO:0004517	18126
GO:0071222	18126
GO:0007623	18126
GO:0097294	231327
GO:0004044	231327
GO:0044208	231327
GO:0006189	231327
GO:0006177	231327
GO:0005829	14450
GO:0004637	14450
GO:0097294	14450
GO:0044208	14450
GO:0006189	14450
GO:0006177	14450
GO:0097065	237823
GO:0097294	11564
GO:0044209	11564
GO:0004018	11564
GO:0070626	11564
GO:0005739	11564
GO:0044208	11564
GO:0006189	11564
GO:0006177	11564
GO:0006166	11821
GO:0032263	11821
GO:0005829	11821
GO:0044209	11821
GO:0007625	11821
GO:0046083	11821
GO:0032264	11821
GO:0002055	11821
GO:0003999	11821
GO:0098761	108147
GO:0004643	108147
GO:0097294	108147
GO:0003937	108147
GO:0005739	108147
GO:0044208	108147
GO:0006189	108147
GO:0006177	108147
GO:0050428	23971
GO:0004781	23971
GO:0004020	23971
GO:0060348	23972
GO:0000103	23972
GO:0004020	23972
GO:0050428	23972
GO:0007596	23972
GO:0004781	23972
GO:0097009	109674
GO:0009117	109674
GO:0003876	109674
GO:0072015	109674
GO:0006188	109674
GO:0046034	109674
GO:0042632	109674
GO:0032264	109674
GO:0046039	109674
GO:0046033	109674
GO:0097009	11717
GO:0003876	11717
GO:0006196	11717
GO:0046031	11717
GO:0006188	11717
GO:0046034	11717
GO:0034101	11717
GO:0032264	11717
GO:0046039	11717
GO:0046032	11717
GO:0046033	11717
GO:0032264	229665
GO:0003876	229665
GO:0006256	12499
GO:0005794	12499
GO:0004382	12499
GO:0045134	12499
GO:0051084	12499
GO:0006011	12499
GO:0005783	12499
GO:0006487	12499
GO:0017111	215446
GO:0009134	215446
GO:0009143	215446
GO:0005886	215446
GO:0008253	215446
GO:0017110	215446
GO:0017111	72090
GO:0016020	72090
GO:0009133	72090
GO:0017110	72090
GO:0009124	72090
GO:0003938	23917
GO:0097294	23917
GO:0006164	23917
GO:0046651	23917
GO:0006177	23917
GO:0006166	15452
GO:0052657	15452
GO:0032263	15452
GO:0044209	15452
GO:0046083	15452
GO:0046651	15452
GO:0042417	15452
GO:0007625	15452
GO:0048813	15452
GO:0021756	15452
GO:0042802	15452
GO:0001913	15452
GO:0021954	15452
GO:0001975	15452
GO:0046100	15452
GO:0004422	15452
GO:0005737	15452
GO:0005829	15452
GO:0007626	15452
GO:0032264	15452
GO:0021895	15452
GO:0046079	103850
GO:0005739	103850
GO:0008253	103850
GO:0009128	230718
GO:0046074	50773
GO:0050483	50773
GO:0046055	50773
GO:0005829	50773
GO:0016791	50773
GO:0008253	50773
GO:0006204	50773
GO:0000255	50773
GO:0005739	50773
GO:0006249	50773
GO:0046079	50773
GO:0009264	50773
GO:0046050	50773
GO:0006196	70881
GO:0005829	70881
GO:0009116	70881
