ENTREZ_GENE_A	ENTREZ_GENE_B
29669	29548
29669	81827
29669	24414
361381	5701
361381	815
361381	816
361381	5705
81827	815
314856	24842
314856	24842
983	116685
891	116685
1017	116685
890	116685
24680	24547
24680	691496
24680	690987
24680	24329
117056	117056
81518	58954
25636	81518
81518	363287
24370	362533
362533	24370
266729	691149
266729	298584
25113	113970
113970	25113
500985	30011
24705	500538
24705	114505
24705	24790
500538	24705
114505	24705
24790	24705
500538	114505
500538	24790
114505	500538
114505	24790
24790	500538
24790	114505
57025	313413
12576	25193
1759	25255
24675	273
60668	160
60668	1759
308578	273
308578	1759
81504	1759
60668	85238
60668	140694
117028	85238
117028	140694
60668	308709
60668	81637
81650	617095
29382	305501
24253	6595
24253	6597
24253	6599
24253	6598
24253	8467
24253	11177
24253	54108
24253	54107
24253	54617
24253	6596
24253	5591
24253	7391
24253	7023
24253	57673
24253	7024
24253	7026
24253	3726
24253	3980
24253	6500
24253	11284
24253	11016
24253	7515
24253	2101
24253	54386
24253	7182
24253	8625
24253	5983
24253	4673
24253	4802
24253	4211
24253	6742
24253	4782
24253	6257
24253	54555
24253	5989
24253	387
24253	3148
24253	7913
24253	5885
24253	8099
24253	5441
24253	10179
24253	6118
24253	51341
24253	22976
24253	257218
24253	50485
24253	11177
25620	10273
25620	50522
10273	50522
24812	24811
24812	811
24812	2923
24812	6892
24812	3106
298012	360543
298012	316740
298012	64701
298012	25596
298012	266759
298012	287670
298012	297593
298012	116643
298012	29677
298012	311078
298012	291796
298012	50522
116643	297593
298012	498433
298012	29630
298012	287716
298012	25124
298012	171361
298012	29565
298012	140639
298012	84478
298012	83809
298012	293719
298012	689852
298012	65138
298012	360853
298012	361585
298012	113894
298012	313658
298012	315771
298012	360471
298012	29275
298012	81822
298012	299850
298012	56781
298012	24851
298012	500450
298012	296369
298012	24838
298012	81818
298012	24383
298012	299052
298012	24191
298012	25630
298012	24849
298012	24265
298012	24248
298012	29221
298012	60335
298012	366189
298012	50671
298012	25380
298012	56611
298012	302328
298012	498174
298012	24387
298012	364694
298012	29220
298012	117254
298012	29338
298012	362969
298012	501621
298012	680102
298012	25309
25481	29246
25481	29332
29332	25481
25614	25414
81672	64158
64158	81672
64158	81672
24242	81672
81672	64158
