geneset	term
GS46981	D000437
GS46981	D001244
GS46981	D017418
GS46983	D059019
GS46983	D005787
GS46983	D053263
GS46983	D014029
GS46983	D002875
GS46983	D000428
GS46983	D002477
GS46983	GO:0005694
GS46983	D001315
GS46983	D006801
GS46983	D015815
GS46983	D000483
GS46983	GO:0005623
GS46983	D017346
GS46983	D006262
GS46983	D009426
GS46983	D002448
GS46983	D017418
GS46983	D055106
GS46983	D004247
GS46983	D014026
GS46983	D016341
GS46983	D020641
GS46983	D000368
GS46983	D016022
GS46983	D020690
GS46983	D014029
GS46983	D020022
GS46983	D000328
GS46983	D009538
GS46983	D002894
GS46983	D009538
GS46983	GO:0007155
GS46983	D009426
GS46983	D002878
GS46983	D001244
GS46983	D000437
GS46983	D002883
GS46983	D020641
GS46983	D002880
GS46983	D012042
GS46983	D011634
GS46983	D035061
GS46983	D015815
GS46983	D011518
GS46983	D015897
GS46983	D008875
GS46983	D004200
GS46983	D053487
GS46983	D014029
GS75566	GO:0010467
GS75566	D012907
GS75566	D012313
GS75566	D004247
GS75566	D005783
GS75566	D003424
GS75566	D044683
GS75566	D009092
GS75566	D020869
GS75566	GO:0009405
GS75566	D055806
GS75566	D003251
GS75566	D025341
GS75566	D005402
GS75566	D015894
GS75566	D000941
GS75566	MA:0000335
GS75566	D008722
GS75566	D003106
GS75566	D006801
GS75566	D058028
GS75566	D020133
GS75566	D016540
GS75566	D012907
GS75566	D005385
GS75566	D011467
GS75566	D010361
GS75566	D003113
GS75566	D001244
GS75566	D008264
GS75566	D020869
GS75566	D003106
GS75566	D016014
GS75566	D012043
GS75566	D016133
GS75566	D003113
GS75566	MA:0001542
GS75566	D006801
GS75566	D016000
GS75566	D009538
GS75566	D046228
GS75566	D012306
GS75566	D013502
GS75566	D010323
GS75605	MA:0000905
GS75605	D020411
GS75605	D000369
GS75605	D006801
GS75605	GO:0010467
GS75605	D001921
GS75605	D006801
GS75605	D046228
GS75605	D020411
GS75605	D002477
GS75605	D000431
GS75605	MA:0000168
GS75605	GO:0010467
GS75605	D006801
GS75605	D018816
GS75605	MA:0000905
GS75605	D057229
GS75605	D057229
GS75605	D007854
GS75605	D008722
GS75605	D000368
GS75605	D005355
GS75605	GO:0007049
GS75605	D000437
GS75605	D009185
GS75605	D044465
GS75605	D000437
GS75605	D008875
GS75605	D005625
GS75605	MA:0001135
GS75605	D014899
GS75605	D012313
GS75605	D002453
GS75605	MA:0000945
GS75605	D015536
GS75605	D018076
GS75605	GO:0005623
GS75606	GO:0010467
GS75606	MA:0000168
GS75606	D000431
GS75606	GO:0007049
GS75606	D008875
GS75606	D005625
GS75606	D000437
GS75606	D044465
GS75606	D009185
GS75606	D000368
GS75606	D020411
GS75606	D046228
GS75606	D006801
GS75606	D012313
GS75606	MA:0000905
GS75606	D018816
GS75606	MA:0000905
GS75606	D006801
GS75606	MA:0001135
GS75606	D006801
GS75606	GO:0005623
GS75606	D018076
GS75606	D000369
GS75606	D001921
GS75606	D057229
GS75606	D057229
GS75606	D002453
GS75606	MA:0000945
GS75606	D015536
GS75606	D020411
GS75606	D007854
GS75606	D008722
GS75606	GO:0010467
GS75606	D000437
GS75606	D002477
GS75691	D000437
GS75691	D015398
GS75691	D016009
GS75691	D006801
GS75691	D015398
GS75691	D004734
GS75691	D005190
GS75691	D024101
GS75691	D005786
GS75691	D008875
GS75691	D001923
GS75691	D001921
GS75691	D006801
GS75691	D011506
GS75691	D013995
GS75691	D008660
GS75691	D020411
GS75691	GO:0007165
GS75691	MA:0000941
GS75691	GO:0023052
GS75691	D000437
GS75691	D000437
GS75691	D003933
GS75691	D020869
GS75691	D008928
GS75691	D014158
GS75691	D000328
GS75691	D006664
GS75691	D015897
GS75691	D006664
GS75691	GO:0008152
GS75691	D025801
GS75691	D025801
GS75691	D003710
GS75691	GO:0009293
GS75751	MA:0000168
GS75751	GO:0009058
GS75751	D024101
GS75751	GO:0006900
GS75751	D000437
GS75751	D009714
GS75751	D009714
GS75751	GO:0005634
GS75751	GO:0031982
GS75751	MP:0003674
GS75751	GO:0005634
GS75751	D057229
GS75751	D001108
GS75751	D018384
