geneset	term
GS75643	D016133
GS75643	D012201
GS75643	D001522
GS75643	D014158
GS75643	D000697
GS75643	D017072
GS75643	D005786
GS75643	D033481
GS75643	D012333
GS75643	D014157
GS75643	D000818
GS75643	D002478
GS75643	D013287
GS75643	D053263
GS75643	D012380
GS75643	D008694
GS75643	GO:0005622
GS75643	D010969
GS75643	D016133
GS75643	MP:0002555
GS75643	D019966
GS75643	D017403
GS75643	D020869
GS75643	D003932
GS75643	D015203
GS75643	D051379
GS75643	D020411
GS75644	MA:0000891
GS75644	D010969
GS75644	D008694
GS75644	D019966
GS75644	D001522
GS75644	D013287
GS75644	D016000
GS75644	D003932
GS75644	D055785
GS75644	D001665
GS75644	D000697
GS75644	D014157
GS75644	D020869
GS75644	D051379
GS75644	D001921
GS75644	D017403
GS75644	MA:0000891
GS75644	D051379
GS75644	D014158
GS75644	GO:0010467
GS75644	D049229
GS75644	D002478
GS75644	MA:0000168
GS75644	D016133
GS75644	D033481
GS75644	D015203
GS75644	D020411
GS75644	D000701
GS75644	D013287
GS75644	D000431
GS75644	D012201
GS75644	D009020
GS75644	D009934
GS75644	D049229
GS75644	D003932
GS75644	D009538
GS75644	D000704
GS75644	D004210
GS75644	D010988
GS75644	D017072
GS75644	D016133
GS75644	D012201
GS75644	D006728
GS75644	D012333
GS75644	D005786
GS75644	D000818
GS75644	D008810
GS75644	D053263
GS75644	D003042
GS75644	GO:0005622
GS75644	D004364
GS75644	MP:0002555
GS75644	D012380
GS75644	D020869
GS75644	D051379
GS75645	MA:0000891
GS75645	D000701
GS75645	D000431
GS75645	D009020
GS75645	D009934
GS75645	D003042
GS75645	D004364
GS75645	D012380
GS75645	D008694
GS75645	D020869
GS75645	D051379
GS75645	D001921
GS75645	MA:0000891
GS75645	D051379
GS75645	D016133
GS75645	D003932
GS75645	D012201
GS75645	D013287
GS75645	D003932
GS75645	D000704
GS75645	D017072
GS75645	D005786
GS75645	MP:0002555
GS75645	D013287
GS75645	D010969
GS75645	D008810
GS75645	D001665
GS75645	D017403
GS75645	D014157
GS75645	D016000
GS75645	D000697
GS75645	D055785
GS75645	D001522
GS75645	D020411
GS75645	D019966
GS75645	D051379
GS75645	D020869
GS75645	GO:0005622
GS75645	D053263
GS75645	D000818
GS75645	D006728
GS75645	D049229
GS75645	D012201
GS75645	D016133
GS75645	D033481
GS75645	D010988
GS75645	D004210
GS75645	D009538
GS75645	D012333
GS75645	D049229
GS75645	D015203
GS75645	D002478
GS75645	D014158
GS75645	GO:0010467
GS75645	MA:0000168
GS75646	GO:0005622
GS75646	D009538
GS75646	D004210
GS75646	D017403
GS75646	D017072
GS75646	D010988
GS75646	D001665
GS75646	D051379
GS75646	D003932
GS75646	D008694
GS75646	D008810
GS75646	D053263
GS75646	D055785
GS75646	MA:0000168
GS75646	D012380
GS75646	D014158
GS75646	MA:0000891
GS75646	D004364
GS75646	D000704
GS75646	D000818
GS75646	D012201
GS75646	MA:0000891
GS75646	D051379
GS75646	D049229
GS75646	D012333
GS75646	D005786
GS75646	D020869
GS75646	D002478
GS75646	D000697
GS75646	D001921
GS75646	D051379
GS75646	D014157
GS75646	D010969
GS75646	D019966
GS75646	D013287
GS75646	D006728
GS75646	D049229
GS75646	D000701
GS75646	D000431
GS75646	D003932
GS75646	D020869
GS75646	D016000
GS75646	D012201
GS75646	D016133
GS75646	D009020
GS75646	D009934
GS75646	D001522
GS75646	D033481
GS75646	D016133
GS75646	MP:0002555
GS75646	D003042
GS75646	D020411
GS75646	D015203
GS75646	D013287
GS75646	GO:0010467
GS75647	D014157
GS75647	D012333
GS75647	D017072
GS75647	D033481
