geneset	term
GS37166	D017208
GS37166	D004435
GS37166	GO:0040007
GS37166	MA:0000358
GS37166	D004032
GS37166	D022781
GS37166	D000437
GS37166	D001769
GS37166	D008568
GS37166	D018384
GS37166	D008722
GS37166	D004305
GS37166	D020411
GS37166	D004195
GS37166	D008745
GS37166	D036341
GS37166	D008660
GS37166	GO:0010467
GS37166	MP:0003674
GS37166	MA:0000009
GS37166	D000107
GS37166	GO:0008152
GS37166	D006657
GS37166	D000431
GS37166	D002492
GS37166	D000431
GS37166	D018384
GS37166	D000818
GS37166	D000431
GS37166	D000208
GS37166	D046228
GS37166	D005786
GS37166	GO:0032259
GS37166	D051381
GS37166	D004326
GS37166	D051381
GS37166	D036341
GS37166	MA:0000059
GS37166	D006128
GS37166	D008099
GS37166	D008745
GS37166	D012718
GS37166	D001835
GS37166	D022781
GS37166	D000107
GS37166	D002908
GS37166	D008099
GS37168	D046228
GS37168	D006657
GS37168	D012718
GS37168	D004326
GS37168	GO:0032259
GS37168	D008745
GS37168	D051381
GS37168	D004798
GS37168	D020411
GS37168	GO:0040007
GS37168	D000107
GS37168	D000107
GS37168	GO:0008152
GS37168	D018384
GS37168	D000208
GS37168	D008099
GS37168	D008099
GS37168	D005786
GS37168	D008745
GS37168	GO:0007613
GS37168	D001769
GS37168	D008568
GS37168	D018384
GS37168	D008722
GS37168	D002492
GS37168	D022781
GS37168	D022781
GS37168	D004435
GS37168	D022781
GS37168	D057890
GS37168	D002908
GS37168	D004798
GS37168	D004305
GS37168	D044127
GS37168	D036341
GS37168	D017208
GS37168	MA:0000059
GS37168	D000431
GS37168	D006128
GS37168	MP:0003674
GS37168	D000437
GS37168	D036341
GS37168	D004195
GS37168	D000431
GS37168	D051381
GS37168	D000431
GS37168	D008660
GS37168	GO:0010467
GS37168	MA:0000358
GS37168	D006657
GS37168	D004032
GS37168	D001835
GS37168	D051381
GS37168	MA:0000009
GS37168	D000818
GS37170	D001769
GS37170	D004435
GS37170	GO:0008152
GS37170	D000107
GS37170	D046228
GS37170	D000431
GS37170	D004032
GS37170	D001835
GS37170	D004798
GS37170	GO:0032259
GS37170	D006128
GS37170	MP:0003674
GS37170	D022781
GS37170	D044127
GS37170	D022781
GS37170	D000437
GS37170	D051381
GS37170	MA:0000009
GS37170	D000107
