#rank	DIAMOnD_node	p_hyper
147	412	3.1315228987774914e-31
148	1581	2.9946393971075215e-29
149	339896	1.4902712338088617e-27
150	51380	2.155705140149712e-29
151	570	4.73559691189902e-27
152	501	5.229276315357181e-27
153	2571	6.662317533351647e-29
154	2572	2.965465088428728e-31
155	219	6.203128268134469e-33
156	224	4.0956967523818217e-33
157	223	1.3810037627039215e-34
158	314	4.657771998514953e-28
159	8639	1.7940221321069874e-28
160	55748	7.821764652650833e-28
161	84735	2.161214326220002e-29
162	51733	4.005498962600395e-32
163	18	1.3620625938228214e-34
164	57571	1.63617566253543e-35
165	53630	6.31317598856586e-25
166	1557	2.6270973847364338e-24
167	54498	1.5325110324895047e-23
168	GO:0015020	8.094995644153769e-22
169	438	9.99034870610042e-22
170	GO:0001972	2.8783010460338238e-21
171	GO:0070062	6.448343811893533e-21
172	84890	7.631126308813136e-21
173	GO:0006805	8.918261617297715e-21
174	9227	7.070684566860508e-20
175	339761	4.7992183626197025e-20
176	54884	1.8266506158162885e-22
177	195814	3.2073231127422847e-23
178	8228	2.0032979037316807e-25
179	158835	1.113034528219751e-24
180	317749	4.404999701421644e-26
181	9249	4.408638486085667e-28
182	8694	7.898437724800829e-30
183	10170	2.6390484995024036e-30
184	10901	2.426107905116047e-32
185	50700	5.155302774132002e-28
186	112724	1.8067385734189473e-30
187	8608	1.8666658818270245e-33
188	145226	6.006254064571142e-36
189	157506	1.908424579471828e-38
190	51109	2.2941518867087123e-40
191	5959	1.814125823670937e-24
192	51056	2.793252408257189e-19
193	GO:0005654	1.5984014900150152e-19
194	113612	4.484950280532713e-19
195	246	9.840937637553615e-20
196	1573	3.4515147761582726e-20
197	239	9.960612425069771e-22
198	240	1.440687435468054e-23
199	247	3.3195579269419877e-25
200	5742	1.8703901942262096e-26
201	8398	2.2934628833972936e-26
202	5743	3.0450004194389093e-28
203	30814	7.143503217917677e-30
204	path:hsa00591	1.2004748865783205e-31
205	242	1.1052077686472407e-33
206	4051	3.4587208945133416e-35
207	8529	4.9788766051137e-37
208	5320	1.182023270813607e-38
209	391013	7.686313546105704e-41
210	84647	4.721416317128832e-43
211	81579	3.9591182225999946e-45
212	26279	3.2411983839721673e-47
213	64600	5.576367079269557e-49
214	151056	3.0230836617648973e-51
215	54979	2.347719498845927e-53
216	11283	6.572735136784756e-56
217	8399	8.034421155257882e-58
